Flat Bench Press,Compound,Push,5
Incline Bench Press,Compound,Push,4
Decline Bench Press,Compound,Push,3
Overhead Shoulder Press,Compound,Push,3
Dips,Compound,Push,4
Bent over Barbell Row,Compound,Pull,3
Seated Cable Row,Compound,Pull,4
Pull-ups/Chin-ups,Compound,Pull,5
Seated Dumbell Overhead Press,Compound,Push,5
Arnold Shoulder Press,Compound,Push,4
Bent Over Reverse Fly ,Compound,Push,3
Barbell Squat ,Compound,Leg,4
Standing Calf Raise,Compound,Leg,3
Romanian Deadlift ,Compound,Leg,5
Leg Press ,Compound,Leg,3
Calf Press,Compound,Leg,5
Hack Squat,Compound,Leg,4
Dumbbell Lunge,Compound,Leg,4
Seated Hammer Curl,Compound,Pull,4
Standing Barbell Curl,Compound,Pull,3
Inverted Rows,Compound,Pull,5
Preacher EZ -Bar Curl,Compound,Pull,3
Skull Crusher,Compound,Push,5
Weighter Dips,Compound,Push,3
Cable Push-Down,Compound,Push,4
Close-Grip Bench Press,Compound,Push,5
Seated Overhead Dumbbell Extension,Compound,Push,3