Dumbbell Flyes,Isolation,Push,1
Decline Dumbbell Flyes,Isolation,Push,1
Incline Dumbbell Flyes,Isolation,Push,2
Cable Crossovers,Isolation,Push,2
Butterfly Machine,Isolation,Push,2
Cable Iron Cross,Isolation,Push,2
Cable Chest Press,Isolation,Push,1
Barbell Shrug,Isolation,Pull,2
Dumbell Shrug,Isolation,Pull,1
Reverse Flyes Machine,Isolation,Pull,1
Dumbell Lateral Raise,Isolation,Push,1
Dumbell Front Raise,Isolation,Push,2
One Arm Front Lateral Raise,Isolation,Pull,2
One Arm Side Lateral Raise,Isolation,Pull,1
Cable Straight Arm Pull Down,Isolation,Pull,2
Seated Back Extension,Isolation,Pull,1
Dumbbell Row,Isolation,Pull,2
Concentration Curls,Isolation,Pull,1
Incline Dumbbell Curls ,Isolation,Pull,2
Hammer Curls,Isolation,Pull,1
Barbell Curl,Isolation,Pull,2
Cable Curls,Isolation,Pull,2
Tricep Push Down,Isolation,Push,1
Machine Dips,Isolation,Push,2
Cable Overhead Tricp Extension,Isolation,Push,1
Hamstring Curls,Isolation,Leg,1
Lying Leg Curls,Isolation,Leg,2
Leg Extensions,Isolation,Leg,1
Calf Raises,Isolation,Leg,2
One-Legged Cable Kick back,Isolation,Leg,1